,original_title,Director,Combined,overview
3233,The Muppet Movie,James Frawley,"Jim Henson,Frank Oz,Jerry Nelson,James Frawley,Adventure,Comedy,Family,The Muppet Movie","Kermit the Frog is persuaded by agent Dom DeLuise to pursue a career in Hollywood. Along the way, Kermit picks up Fozzie Bear, Miss Piggy, Gonzo, and a motley crew of other Muppets with similar aspirations. Meanwhile, Kermit must elude the grasp of a frog-leg restaurant magnate."
3234,Nightcrawler,Dan Gilroy,"Jake Gyllenhaal,Rene Russo,Riz Ahmed,Dan Gilroy,Crime,Drama,Thriller,Nightcrawler","When Lou Bloom, desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story. Aiding him in his effort is Nina, a TV-news veteran."
3235,Club Dread,Jay Chandrasekhar,"Kevin Heffernan,Jay Chandrasekhar,Paul Soter,Jay Chandrasekhar,Comedy,Horror,Club Dread",When a serial killer interrupts the fun at the swanky Coconut Pete's Coconut Beach Resort -- a hedonistic island paradise for swingers --- it's up to the club's staff to stop the violence ... or at least hide it!
3236,The Sound of Music,Robert Wise,"Julie Andrews,Christopher Plummer,Eleanor Parker,Robert Wise,Drama,Family,Music,The Sound of Music",Film adaptation of a classic Rodgers and Hammerstein musical based on a nun who becomes a governess for an Austrian family.
3237,Splash,Ron Howard,"Tom Hanks,Daryl Hannah,Eugene Levy,Ron Howard,Comedy,Fantasy,Romance,Splash","A successful businessman falls in love with the girl of his dreams. There's one big complication though; he's fallen hook, line and sinker for a mermaid."
3238,Little Miss Sunshine,Jonathan Dayton,"Greg Kinnear,Toni Collette,Steve Carell,Jonathan Dayton,Comedy,Drama,Little Miss Sunshine","A family loaded with quirky, colorful characters piles into an old van and road trips to California for little Olive to compete in a beauty pageant."
3239,Stand by Me,Rob Reiner,"Wil Wheaton,River Phoenix,Corey Feldman,Rob Reiner,Crime,Drama,Stand by Me","After the death of a friend, a writer recounts a boyhood journey to find the body of a missing boy."
3240,28 Days Later,Danny Boyle,"Cillian Murphy,Naomie Harris,Noah Huntley,Danny Boyle,Horror,Thriller,Science Fiction,28 Days Later","Twenty-eight days after a killer virus was accidentally unleashed from a British research facility, a small group of London survivors are caught in a desperate struggle to protect themselves from the infected. Carried by animals and humans, the virus turns those it infects into homicidal maniacs -- and it's absolutely impossible to contain."
3241,You Got Served,Chris Stokes,"Marques Houston,Omarion,J-Boog,Chris Stokes,Drama,You Got Served","At Mr. Rad's Warehouse, the best hip-hop crews in Los Angeles compete for money and respect. But when a suburban crew crashes the party, stealing their dancers - and their moves - two warring friends have to pull together to represent the street. Starring hip-hop sensations Marques Houston, Omari Grandberry, Lil' Kim and comedian Steve Harvey."
3242,Escape from Alcatraz,Don Siegel,"Clint Eastwood,Patrick McGoohan,Roberts Blossom,Don Siegel,Crime,Drama,Escape from Alcatraz","Escape from Alcatraz tells the story of the only three men ever to escape from the infamous maximum security prison at Alcatraz. In 29 years, the seemingly impenetrable federal penitentiary, which housed Al Capone and ""Birdman"" Robert Stroud, was only broken once - by three men never heard of again."
3243,Brown Sugar,Rick Famuyiwa,"Sanaa Lathan,Taye Diggs,Yasiin Bey,Rick Famuyiwa,Comedy,Romance,Brown Sugar","Sidney is a writer who's just left her L.A. Times music review gig to edit New York hip-hop magazine XXL. Dre is an executive with a hip-hop record company based in New York. They've known each other since they met as children, when both discovered hip-hop for the first time. Now that they're back together, they should be perfect for each other, except that Dre's about to marry lawyer Reese and Sidney claims not to be interested in Dre romantically. Meanwhile, Dre is growing increasingly restless with his company's focus on profit over artistry, which leads to signing the gimmicky duo Ren and Ten while ignoring the talented Chris"
3244,A Thin Line Between Love and Hate,Martin Lawrence,"Lynn Whitfield,Martin Lawrence,Regina King,Martin Lawrence,Comedy,Thriller,Crime,A Thin Line Between Love and Hate","Nightclub manager Darnell Wright is a perpetual playboy who is almost as devoted to his job as he is to the pursuit of beautiful women. After he sets his sights on the ultra-classy Brandi Web, he launches an all-out assault to win her heart. Ultimately, charm, lust and passion prevail, but Darnell learns the hard way that when you play, you pay. Brandi is much harder to get rid of than she was to get--especially when she realizes that she has a rival vying for Darnell's affection. When he finally decides to call it quits, Brandi becomes an obsessed femme fatale stalking the new love of her life."
3245,50/50,Jonathan Levine,"Joseph Gordon-Levitt,Seth Rogen,Anna Kendrick,Jonathan Levine,Comedy,Drama,50/50","Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis, and his subsequent struggle to beat the disease."
3246,Shutter,Masayuki Ochiai,"Joshua Jackson,Rachael Taylor,Megumi Okina,Masayuki Ochiai,Horror,Mystery,Thriller,Shutter","A newly married couple discovers disturbing, ghostly images in photographs they develop after a tragic accident. Fearing the manifestations may be connected, they investigate and learn that some mysteries are better left unsolved."
3247,That Awkward Moment,Tom Gormican,"Zac Efron,Miles Teller,Michael B. Jordan,Tom Gormican,Comedy,Romance,That Awkward Moment","Best pals Jason and Daniel indulge in casual flings and revel in their carefree, unattached lives. After learning that the marriage of their friend Mikey is over, they gladly welcome him back into their circle. The three young men make a pact to have fun and avoid commitment. However, when all three find themselves involved in serious relationships, they must keep their romances secret from one another."
3248,Modern Problems,Ken Shapiro,"Chevy Chase,Patti D'Arbanville,Dabney Coleman,Ken Shapiro,Comedy,Modern Problems","Jealous, harried air traffic controller Max Fielder, recently dumped by his girlfriend, comes into contact with nuclear waste and is granted the power of telekinesis, which he uses to not only win her back, but to gain a little revenge."
3249,Kicks,Justin Tipping,"Mahershala Ali,Kofi Siriboe,Christopher Meyer,Justin Tipping,Adventure,Kicks","When his hard-earned kicks get snatched by a local hood, fifteen-year old Brandon and his two best friends go on an ill-advised mission across the Bay Area to retrieve the stolen sneakers."
3250,Much Ado About Nothing,Kenneth Branagh,"Kenneth Branagh,Richard Briers,Michael Keaton,Kenneth Branagh,Drama,Comedy,Romance,Much Ado About Nothing","In this Shakespearean farce, Hero and her groom-to-be, Claudio, team up with Claudio's commanding officer, Don Pedro, the week before their wedding to hatch a matchmaking scheme. Their targets are sharp-witted duo Benedick and Beatrice -- a tough task indeed, considering their corresponding distaste for love and each other. Meanwhile, meddling Don John plots to ruin the wedding."
3251,On Her Majesty's Secret Service,Peter R. Hunt,"George Lazenby,Diana Rigg,Telly Savalas,Peter R. Hunt,Adventure,Action,Thriller,On Her Majesty's Secret Service","James Bond tracks archnemesis Ernst Blofeld to a mountaintop retreat where he's training an army of beautiful but lethal women. Along the way, Bond falls for Italian contessa Tracy Draco -- and marries her in order to get closer to Blofeld. Meanwhile, he locates Blofeld in the Alps and embarks on a classic ski chase."
3252,New Nightmare,Wes Craven,"Heather Langenkamp,Robert Englund,Miko Hughes,Wes Craven,Horror,Thriller,Mystery,New Nightmare","Freddy's back … and he's badder than ever! Nancy, the historical nemesis of the man with the satanic snarl and pitchfork fingers, discovers that a new monstrous demon has taken on Freddy's persona. Can Nancy stop this new threat in time to save her son?"
3253,Drive Me Crazy,John Schultz,"Melissa Joan Hart,Stephen Collins,Adrian Grenier,John Schultz,Drama,Comedy,Romance,Drive Me Crazy","Nicole and Chase live next door to each other but are worlds apart. However, they plot a scheme to date each other in order to attract the interest and jealousy of their respective romantic prey. But in the mist of planning a gala centennial celebration, Nicole and Chase find that the one they always wanted was closer than they ever thought."
3254,Akeelah and the Bee,Doug Atchison,"Keke Palmer,Laurence Fishburne,Angela Bassett,Doug Atchison,Drama,Akeelah and the Bee","Eleven year-old Akeelah Anderson's life is not easy: her father is dead, her mom ignores her, her brother runs with the local gangbangers. She's smart, but her environment threatens to strangle her aspirations. Responding to a threat by her school's principal, Akeelah participates in a spelling bee to avoid detention for her many absences. Much to her surprise and embarrassment, she wins. Her principal asks her to seek coaching from an English professor named Dr. Larabee for the more prestigious regional bee. As the possibility of making it all the way to the Scripps National Spelling Bee looms, Akeelah could provide her community with someone to rally around and be proud of -- but only if she can overcome her insecurities and her distracting home life. She also must get past Dr. Larabee's demons, and a field of more experienced and privileged fellow spellers."
3255,Half Baked,Tamra Davis,"Dave Chappelle,Tommy Chong,Harland Williams,Tamra Davis,Comedy,Crime,Half Baked","Three lovable party buds try to bail their friend out of jail. But just when the guys have mastered a plan, everything comes dangerously close to going up in smoke."
3256,New in Town,Jonas Elmer,"Renée Zellweger,Harry Connick Jr.,J.K. Simmons,Jonas Elmer,Comedy,New in Town","Lucy Hill is an ambitious up-and-coming executive living in Miami. She loves her shoes, she loves her cars and she loves climbing the corporate ladder. When she is offered a temporary assignment – in the middle of nowhere – to restructure a manufacturing plant, she jumps at the opportunity, knowing that a big promotion is close at hand. What begins as a straight-forward assignment becomes a life-changing experience as Lucy discovers greater meaning in her life and, most unexpectedly, the man of her dreams."
3257,American Psycho,Mary Harron,"Christian Bale,Willem Dafoe,Jared Leto,Mary Harron,Thriller,Drama,Crime,American Psycho","A wealthy New York investment banking executive hides his alternate psychopathic ego from his co-workers and friends as he escalates deeper into his illogical, gratuitous fantasies."
3258,The Good Girl,Miguel Arteta,"Jennifer Aniston,Jake Gyllenhaal,Zooey Deschanel,Miguel Arteta,Drama,Comedy,Romance,The Good Girl",A discount store clerk strikes up an affair with a stock boy who considers himself the incarnation of Holden Caulfield.
3259,Bon Cop Bad Cop,Erik Canuel,"Patrick Huard,Colm Feore,Michel Beaudry,Erik Canuel,Action,Comedy,Crime,Bon Cop Bad Cop","When the body of the executive of hockey Benoit Brisset is found on the billboard of the border of Quebec and Ontario, the jurisdiction of the crime is shared between the two police forces and detectives David Bouchard from Montreal and Martin Ward from Toronto are assigned to work together. With totally different styles, attitudes and languages."
3260,The Boondock Saints II: All Saints Day,Troy Duffy,"Sean Patrick Flanery,Norman Reedus,Billy Connolly,Troy Duffy,Action,Thriller,Crime,The Boondock Saints II: All Saints Day","Skillfully framed by an unknown enemy for the murder of a priest, wanted vigilante MacManus brothers Murphy and Connor must come out of hiding on a sheep farm in Ireland to fight for justice in Boston."
3261,The City of Your Final Destination,James Ivory,"Nicholas Blandullo,Sofia Viruboff,Omar Metwally,James Ivory,Drama,The City of Your Final Destination","28-year-old Kansas University doctoral student Omar Razaghi wins a grant to write a biography of Latin American writer Jules Gund. Omar must get through to three people who were close to Gund--his brother, widow, and younger mistress--so he can get authorization to write the biography. Written by Marisa_Gabriella, edited by Krystal Frauendienst"
3262,Enough Said,Nicole Holofcener,"Julia Louis-Dreyfus,Catherine Keener,James Gandolfini,Nicole Holofcener,Comedy,Drama,Romance,Enough Said","Eva is a divorced soon-to-be empty-nester wondering about her next act. Then she meets Marianne, the embodiment of her perfect self. Armed with a restored outlook on being middle-aged and single, Eva decides to take a chance on her new love interest Albert — a sweet, funny and like-minded man. But things get complicated when Eva discovers that Albert is in fact the dreaded ex–husband of Marianne..."
3263,Easy A,Will Gluck,"Emma Stone,Stanley Tucci,Amanda Bynes,Will Gluck,Comedy,Easy A","After a little white lie about losing her virginity gets out, a clean cut high school girl sees her life paralleling Hester Prynne's in ""The Scarlet Letter,"" which she is currently studying in school - until she decides to use the rumor mill to advance her social and financial standing."
3264,The Inkwell,Matty Rich,"Larenz Tate,Joe Morton,Suzzanne Douglas,Matty Rich,Comedy,Drama,Romance,The Inkwell",The Inkwell is about a 16-year-old boy coming of age on Martha's Vineyard in the summer of 1976.
3265,Shadow of the Vampire,E. Elias Merhige,"John Malkovich,Willem Dafoe,Udo Kier,E. Elias Merhige,Drama,Horror,Shadow of the Vampire","Director F.W. Murnau (John Malkovich) makes a Faustian pact with a vampire (Willem Dafoe) to get him to star in his 1922 film ""Nosferatu."""
3266,Prom,Joe Nussbaum,"Aimee Teegarden,Thomas McDonell,Nicholas Braun,Joe Nussbaum,Comedy,Prom","At “Prom,” every couple has a story and no two are exactly alike. As the big dance approaches for Nova Prescott, it’s a battle of wills as she finds herself drawn to the guy who gets in the way of her perfect prom. Fellow seniors Mei and Tyler harbor secrets, while others face all the insecurity and anticipation that surrounds one of high school’s most seminal events."
3267,The Pallbearer,Matt Reeves,"David Schwimmer,Gwyneth Paltrow,Michael Rapaport,Matt Reeves,Comedy,Romance,The Pallbearer","Aspiring architect Tom Thompson is told by mysterious Ruth Abernathy that his best friend, ""Bill,"" has taken his own life. Except that Tom has never met Bill and neither have his incredulous friends. So when Tom foolishly agrees to give the eulogy at Bill's funeral, it sets him on a collision course with Ruth -- who is revealed to be Bill's oversexed mother -- and Julie DeMarco, the longtime crush Tom hasn't seen since they were teens."
3268,Held Up,Steve Rash,"Jamie Foxx,Nia Long,Barry Corbin,Steve Rash,Comedy,Held Up","While they're on vacation in the Southwest, Rae finds out her man Michael spent their house money on a classic car, so she dumps him, hitching a ride to Vegas for a flight home. A kid promptly steals Michael's car, leaving him at the Zip &amp; Sip, a convenience store. Three bumbling robbers promptly stage a hold up. Two take off with the cash stranding the third, with a mysterious crate, just as the cops arrive. The robber takes the store hostage. As incompetent cops bring in a SWAT team and try a by-the-book rescue, Michael has to keep the robber calm, find out what's in the crate, aid the negotiations, and get back to Rae. The Stockholm Syndrome asserts its effect."
3269,Woman on Top,Fina Torres,"Penélope Cruz,Murilo Benicio,Mark Feuerstein,Fina Torres,Comedy,Drama,Romance,Woman on Top","Set to the intoxicating rhythms of Brazil, ""Woman on Top"" is a spicy, sexy comedy about the magic of food, love and music. Meet Isabella, a sultry enchantress born with the special gift of melting the palates and hearts of men everywhere. When she decides to break free from her rocky marriage and the stifling kitchen of her husband's restaurant in Brazil, she spirits off to San Francisco in pursuit of her dreams of a real culinary career."
3270,Howards End,James Ivory,"Vanessa Redgrave,Helena Bonham Carter,Emma Thompson,James Ivory,Drama,Romance,Howards End","Merchant Ivory’s adaptation of EM Forster’s classic 1910 novel, starring Emma Thompson, Helena Bonham Carter, Anthony Hopkins & Vanessa Redgrave returns to the big screen in a beautiful new 4K restoration. Stunning location photography, lavishly detailed sets & elegant period costumes, this compelling saga follows the interwoven fates and misfortunes of three families amid the changing times of Edwardian England. It tells the story of two free-spirited, cosmopolitan sisters, Margaret (Emma Thompson) and Helen Schlegel (Helena Bonham Carter), who collide with the world of the very wealthy ­­– one sister benefiting from the acquaintance with the Wilcoxes (owners of the beloved country home Howards End), the other all but destroyed by it. Anthony Hopkins is the conservative industrialist Henry Wilcox and Vanessa Redgrave is his ailing wife Ruth Wilcox."
3271,Anomalisa,Charlie Kaufman,"David Thewlis,Jennifer Jason Leigh,Tom Noonan,Charlie Kaufman,Animation,Comedy,Drama,Anomalisa",A man crippled by the mundanity of his life experiences something out of the ordinary.
3272,Another Year,Mike Leigh,"Jim Broadbent,Lesley Manville,Ruth Sheen,Mike Leigh,Comedy,Drama,Another Year","Mike Leigh’s much praised 2010 tragicomical drama. During a year, a very content couple approaching retirement are visited by friends and family less happy with their lives."
3273,8 femmes,François Ozon,"Catherine Deneuve,Isabelle Huppert,Emmanuelle Béart,François Ozon,Comedy,Thriller,Music,8 femmes","Eight women gather to celebrate Christmas in a snowbound cottage, only to find the family patriarch dead with a knife in his back. Trapped in the house, every woman becomes a suspect, each having her own motive and secret."
3274,Showdown in Little Tokyo,Mark L. Lester,"Dolph Lundgren,Brandon Lee,Cary-Hiroyuki Tagawa,Mark L. Lester,Action,Thriller,Showdown in Little Tokyo","An American with a Japanese upbringing, Chris Kenner is a police officer assigned to the Little Tokyo section of Los Angeles. Kenner is partnered with Johnny Murata, a Japanese-American who isn't in touch with his roots. Despite their differences, both men excel at martial arts, and utilize their formidable skills when they go up against Yoshida, a vicious yakuza drug dealer with ties to Kenner's past."
3275,Clay Pigeons,David Dobkin,"Joaquin Phoenix,Vince Vaughn,Janeane Garofalo,David Dobkin,Comedy,Crime,Drama,Clay Pigeons","Clay is a young man in a small town who witnesses his friend, Earl kill himself because of the ongoing affair that Clay was having with the man's wife, Amanda. Feeling guilty, Clay now resists the widow when she presses him to continue with their sexual affairs. Clay inadvertently befriends a serial killer named Lester Long, who murders the widow in an attempt to ""help"" his ""fishing buddy."""
3276,It's Kind of a Funny Story,Ryan Fleck,"Keir Gilchrist,Emma Roberts,Zach Galifianakis,Ryan Fleck,Comedy,Drama,It's Kind of a Funny Story",A clinically depressed teenager gets a new start after he checks himself into an adult psychiatric ward.
3277,Made in Dagenham,Nigel Cole,"Sally Hawkins,Bob Hoskins,Miranda Richardson,Nigel Cole,Comedy,Drama,History,Made in Dagenham","A dramatization of the 1968 strike at the Ford Dagenham car plant, where female workers walked out in protest against sexual discrimination."
3278,And When Did You Last See Your Father?,Anand Tucker,"Jim Broadbent,Colin Firth,Juliet Stevenson,Anand Tucker,Drama,And When Did You Last See Your Father?",The story of a son's conflicting memories of his dying father.
3279,Prefontaine,Steve James,"Jared Leto,R. Lee Ermey,Ed O'Neill,Steve James,Drama,Romance,Prefontaine","It's the true-life story of legendary track star Steve Prefontaine, the exciting and sometimes controversial ""James Dean of Track,"" whose spirit captured the heart of the nation! Cocky, charismatic, and tough, ""Pre"" was a running rebel who defied rules, pushed limits ... and smashed records ..."
3280,The Wicked Lady,Michael Winner,"Faye Dunaway,John Gielgud,Denholm Elliott,Michael Winner,Drama,Adventure,The Wicked Lady","Caroline is to be wed to Sir Ralph and invites her sister Barbara to be her bridesmaid. Barbara seduces Ralph, however, and she becomes the new Lady, but despite her new wealthy situation, she gets bored and turns to highway robbery for thrills. While on the road she meets a famous highwayman, and they continue as a team, but some people begin suspecting her identity, and she risks death if she continues her nefarious activities."
3281,The Secret of Kells,Tomm Moore,"Evan McGuire,Christen Mooney,Brendan Gleeson,Tomm Moore,Animation,Family,Fantasy,The Secret of Kells","Adventure awaits 12 year old Brendan who must fight Vikings and a serpent god to find a crystal and complete the legendary Book of Kells. In order to finish Brother Aiden's book, Brendan must overcome his deepest fears on a secret quest that will take him beyond the abbey walls and into the enchanted forest where dangerous mythical creatures hide. Will Brendan succeed in his quest?"
3282,Begin Again,John Carney,"Mark Ruffalo,Keira Knightley,Adam Levine,John Carney,Comedy,Music,Romance,Begin Again","Gretta's celebrity boyfriend breaks up with her after a long-term relationship, leaving the singer to find success on her own. With the help of record producer, Dan and hip-hop celebrity, Trouble Gum, Gretta strives to fulfil her musical ambitions."
3283,Down in the Valley,David Jacobson,"Edward Norton,Evan Rachel Wood,David Morse,David Jacobson,Drama,Romance,Down in the Valley","On a trip to the beach, a teenage girl named Tobe meets a charismatic stranger named Harlan, who dresses like a cowboy and claims to be a former ranch hand. The pair feel an instant attraction and begin a relationship, but her father, a lawman, is suspicious of her lover."
3284,Brooklyn Rules,Michael Corrente,"Alec Baldwin,Paulo Araujo,Daniel Tay,Michael Corrente,Drama,Action,Thriller,Brooklyn Rules","Brooklyn, 1985. With the mob world as a backdrop, three life-long friends struggle with questions of love, loss and loyalty."
3285,Restless,Edward Hall,"Hayley Atwell,Rufus Sewell,Michelle Dockery,Edward Hall,TV Movie,Romance,Drama,Restless",A young woman finds out that her mother worked as a spy for the British Secret Service during World War II and has been on the run ever since.
3286,The Singing Detective,Keith Gordon,"Robert Downey Jr.,Robin Wright,Mel Gibson,Keith Gordon,Comedy,Music,Mystery,The Singing Detective","From his hospital bed, a writer suffering from a skin disease hallucinates musical numbers and paranoid plots."
3287,The Land Girls,David Leland,"Catherine McCormack,Rachel Weisz,Anna Friel,David Leland,Drama,Romance,War,The Land Girls","During World War II, the organisation ""The Women's Land Army"" recruited women to work on British farms while the men were off to war. Three such ""land girls"" of different social backgrounds - quiet Stella, young hairdresser Prue, and Cambridge graduate Ag - become best friends in spite of their different backgrounds."
3288,Fido,Andrew Currie,"Billy Connolly,Carrie-Anne Moss,Dylan Baker,Andrew Currie,Romance,Comedy,Drama,Fido","Timmy Robinson's best friend in the whole wide world is a six-foot tall rotting zombie named Fido. But when Fido eats the next-door neighbor, Mom and Dad hit the roof, and Timmy has to go to the ends of the earth to keep Fido a part of the family. A boy-and-his-dog movie for grown ups, ""Fido"" will rip your heart out."
3289,The Wendell Baker Story,Luke Wilson,"Luke Wilson,Eva Mendes,Jacob Vargas,Luke Wilson,Comedy,Drama,Romance,The Wendell Baker Story",Luke Wilson plays a good-hearted ex-con who gets a job in a retirement hotel. Three elderly residents help him win back his girlfriend as he lends them a hand in fighting hotel corruption.
3290,Wild Target,Jonathan Lynn,"Bill Nighy,Emily Blunt,Rupert Grint,Jonathan Lynn,Action,Comedy,Wild Target","Victor Maynard is a middle-aged, solitary assassin, who lives to please his formidable mother, despite his own peerless reputation for lethal efficiency. His professional routine is interrupted when he finds himself drawn to one of his intended victims, Rose. He spares her life, unexpectedly acquiring in the process a young apprentice, Tony. Believing Victor to be a private detective, his two new companions tag along, while he attempts to thwart the murderous attentions of his unhappy client"
3291,Pathology,Marc Schölermann,"Milo Ventimiglia,Alyssa Milano,Michael Weston,Marc Schölermann,Crime,Horror,Thriller,Pathology","Medical student Ted Grey (Milo Ventimiglia) graduates at the top of his class and quickly joins an elite pathology program, whose top students invite him into their circle. There he uncovers a gruesome secret: They play a game in which one tries to commit the perfect, undetectable murder, then the others compete to determine the victim's cause of death."
3292,Wuthering Heights,Coky Giedroyc,"Tom Hardy,Charlotte Riley,Andrew Lincoln,Coky Giedroyc,Drama,Wuthering Heights",Foundling Heathcliff is raised by the wealthy Earnshaws in Yorkshire but in later life launches a vendetta against the family.
3293,10th & Wolf,Robert Moresco,"James Marsden,Brian Dennehy,Leo Rossi,Robert Moresco,Action,Crime,Drama,10th & Wolf","A former street tough returns to his Philadelphia home after a stint in the military. Back on his home turf, he once again finds himself tangling with the mob boss who was instrumental in his going off to be a soldier."
3294,Dear Wendy,Thomas Vinterberg,"Jamie Bell,Bill Pullman,Michael Angarano,Thomas Vinterberg,Comedy,Crime,Drama,Dear Wendy","In a blue-collar American town, a group of teens bands together to form the Dandies, a gang of gunslingers led by Dick Dandelion. Following a code of strict pacifism at odds with the fact that they all carry guns, the group eventually lets in Sebastian, the grandson of Dick's childhood nanny, Clarabelle, who fears the other gangs in the area. Dick and company try to protect Clarabelle, but events transpire that push the gang past posturing."
3295,Aloft,Claudia Llosa,"Jennifer Connelly,Mélanie Laurent,Cillian Murphy,Claudia Llosa,Drama,Aloft","As we follow a mother and her son, we delve into a past marred by an accident that tears them apart. She will become a renowned artist and healer, and he will grow into his own and a peculiar falconer who bears the marks of a double absence. In the present, a young journalist will bring about an encounter between the two that puts the very meaning of life and art into question, so that we may contemplate the possibility of living life to its fullest, despite the uncertainties littering our paths."
3296,アキラ,Katsuhiro Ōtomo,"Mitsuo Iwata,Nozomu Sasaki,Mami Koyama,Katsuhiro Ōtomo,Science Fiction,Animation,アキラ","Childhood friends Tetsuo and Kaneda are pulled into the post-apocalyptic underworld of Neo-Tokyo and forced to fight for their very survival. Kaneda is a bike gang leader, and Tetsuo is a member of a tough motorcycle crew who becomes involved in a covert government project called Akira. But a bloody battle ensues when Kaneda sets out to save his friend."
3297,The Death and Life of Bobby Z,John Herzfeld,"Paul Walker,Laurence Fishburne,Olivia Wilde,John Herzfeld,Drama,Action,Thriller,The Death and Life of Bobby Z","A DEA agent provides former Marine Tim Kearney with a way out of his prison sentence: impersonate Bobby Z, a recently deceased drug dealer, in a hostage switch with a crime lord. When the negotiations go awry, Kearney flees, with Z's son in tow."
3298,Maurice Richard,Charles Binamé,"Roy Dupuis,Michel Barrette,Rémy Girard,Charles Binamé,Drama,Maurice Richard","In the late 1930s, a young machinist named Maurice Richard distinguished himself as a ice hockey player of preternatural talent. Although that was enough to get him into the Montreal Canadiens, his frequent injuries cost him the confidence of his team and the fans. In the face of these doubts, Richard eventually shows the kind of aggressive and skillful play that would make him one of the greatest players of all time as ""The Rocket."" However for all his success, Richard and his fellow French Canadians face constant discrimination in a league dominated by the English speaking. Although a man of few words, Richard begins to speak his own mind about the injustice which creates a organizational conflict that would culminate in his infamous 1955 season suspension that sparks an ethnic riot in protest. In the face of these challenges, Richard must decide who exactly is he playing for."
3299,Swelter,Keith Parmer,"Jean-Claude Van Damme,Brad Carter,Josh Henderson,Keith Parmer,Action,Drama,Thriller,Swelter","Ten years after their casino heist, four escaped convicts trace their former partner to a desert town, where he is now a lawman with no memory of his criminal past."
3300,非常幸运,Dennie Gordon,"Zhang Ziyi,Leehom Wang,Ruby Lin,Dennie Gordon,Comedy,Romance,非常幸运",My Lucky Star is a 2013 Chinese romance film directed by Dennie Gordon and starring Zhang Ziyi and Leehom Wang. The film also serves as a prequel to the 2009 film Sophie's Revenge.
3301,Imagine Me & You,Ol Parker,"Piper Perabo,Lena Headey,Matthew Goode,Ol Parker,Drama,Comedy,Romance,Imagine Me & You","During her wedding ceremony, Rachel notices Luce in the audience and feels instantly drawn to her. The two women become close friends, and when Rachel learns that Luce is a lesbian, she realizes that despite her happy marriage to Heck, she is falling for Luce. As she questions her sexual orientation, Rachel must decide between her stable relationship with Heck and her exhilarating new romance with Luce."
3302,Mr. Church,Bruce Beresford,"Eddie Murphy,Britt Robertson,Natascha McElhone,Bruce Beresford,Drama,Mr. Church","A unique friendship develops when a little girl and her dying mother inherit a cook - Mr. Church. What begins as an arrangement that should only last six months, instead spans fifteen years."
3303,Swimming Pool,François Ozon,"Charlotte Rampling,Ludivine Sagnier,Charles Dance,François Ozon,Thriller,Crime,Swimming Pool","In the middle of this amusing thriller is a relationship between two different types of females, one is a well know British author and the other is a sex-crazed French teen. The two get into some relationship trouble while living together in this film of psychological imagery and an erotic exploration of the female body."
3304,Green Street Hooligans: Underground,James Nunn,"Scott Adkins,Joey Ansah,Kacey Clarke,James Nunn,Action,Drama,Green Street Hooligans: Underground","An old firm leader returns to Green Street for Revanche after receiving a call that his little brother was killed, but is he able to cope with a new type of hooliganism and can he find his killer?"
3305,The Blood of Heroes,David Webb Peoples,"Rutger Hauer,Joan Chen,Delroy Lindo,David Webb Peoples,Action,Adventure,Science Fiction,The Blood of Heroes","Set in a futuristic world where the only sport that has survived in a wasted society is the brutal game known as jugging. Sallow, the leader of a rag-tag team, has played in the main Leagues before, but was cast out because of indiscretions with a lady. However now joined by a talented newcomer, Kidda, an ambitious young peasant girl he and his team find they have one last chance for glory"
3306,Code of Honor,Michael Winnick,"Steven Seagal,Craig Sheffer,Louis Mandylor,Michael Winnick,Action,Crime,Thriller,Code of Honor","Colonel Robert Sikes is on a mission to rid his city of crime. As a stealthy, one-man assault team, he will take on street gangs, mobsters, and politicians with extreme prejudice until his mission is complete. His former protégé, William Porter, teams up with the local police department to bring his former commander to justice and prevent him from further vigilantism."
3307,Driving Miss Daisy,Bruce Beresford,"Morgan Freeman,Jessica Tandy,Dan Aykroyd,Bruce Beresford,Comedy,Drama,Driving Miss Daisy",The story of an old Jewish widow named Daisy Werthan and her relationship with her colored chauffeur Hoke. From an initial mere work relationship grew in 25 years a strong friendship between the two very different characters in a time when those types of relationships where shunned upon. Oscar winning tragic comedy with a star-studded cast and based on a play of the same name by Alfred Uhry.
3308,Soul Food,"George Tillman, Jr.","Vivica A. Fox,Nia Long,Michael Beach,George Tillman, Jr.,Comedy,Drama,Soul Food","Traditional Sunday dinners at Mama Joe's (Irma P. Hall) turn sour when sisters Teri (Vanessa L. Williams), Bird (Nia Long) and Maxine (Vivica A. Fox) start bringing their problems to the dinner table in this ensemble comedy. When tragedy strikes, it's up to grandson Ahmad (Brandon Hammond) to pull the family together and put the soul back into the family's weekly gatherings. Michael Beach, Mekhi P"
3309,紅番區,Stanley Tong,"Jackie Chan,Anita Mui,Françoise Yip,Stanley Tong,Crime,Action,Comedy,紅番區","Keong comes from Hong Kong to visit New York for his uncle's wedding. His uncle runs a market in the Bronx and Keong offers to help out while Uncle is on his honeymoon. During his stay in the Bronx, Keong befriends a neighbor kid and beats up some neighborhood thugs who cause problems at the market. One of those petty thugs in the local gang stumbles into a criminal situation way over his head."
